drafter,split,position,step,acc,sum,total
peagle,train,1,450,0.571,9.78e+03,1.71e+04
peagle,train,1,460,0.550,8.08e+03,1.47e+04
peagle,train,1,470,0.544,1.23e+04,2.25e+04
peagle,train,1,480,0.586,1.06e+04,1.82e+04
peagle,train,1,490,0.578,9.71e+03,1.68e+04
peagle,train,1,500,0.594,1.23e+04,2.07e+04
peagle,train,1,510,0.553,7.04e+03,1.27e+04
peagle,train,1,520,0.598,1.18e+04,1.97e+04
peagle,train,1,530,0.589,8.26e+03,1.40e+04
peagle,train,1,540,0.613,8.47e+03,1.38e+04
peagle,train,1,550,0.617,1.01e+04,1.63e+04
peagle,train,1,560,0.584,1.16e+04,1.99e+04
peagle,train,1,570,0.595,1.35e+04,2.27e+04
peagle,train,1,580,0.617,1.21e+04,1.96e+04
peagle,train,1,590,0.600,1.06e+04,1.77e+04
peagle,train,1,600,0.616,1.16e+04,1.88e+04
peagle,train,1,610,0.617,9.08e+03,1.47e+04
peagle,train,1,620,0.600,9.07e+03,1.51e+04
peagle,train,1,630,0.593,1.27e+04,2.13e+04
peagle,train,1,640,0.597,9.28e+03,1.56e+04
peagle,train,1,650,0.589,9.57e+03,1.62e+04
peagle,train,1,660,0.627,8.61e+03,1.37e+04
peagle,train,1,670,0.600,1.13e+04,1.89e+04
peagle,train,1,680,0.590,9.63e+03,1.63e+04
peagle,train,1,690,0.631,1.05e+04,1.66e+04
peagle,train,1,700,0.606,9.85e+03,1.63e+04
peagle,train,1,710,0.614,9.68e+03,1.58e+04
peagle,train,1,720,0.604,1.02e+04,1.69e+04
peagle,train,1,730,0.646,7.93e+03,1.23e+04
peagle,train,1,740,0.602,8.89e+03,1.48e+04
peagle,train,1,750,0.612,1.15e+04,1.87e+04
peagle,train,1,760,0.627,9.36e+03,1.49e+04
peagle,train,1,770,0.612,1.07e+04,1.75e+04
peagle,train,1,780,0.628,9.91e+03,1.58e+04
peagle,train,1,790,0.614,6.08e+03,9.90e+03
peagle,train,1,800,0.603,1.21e+04,2.00e+04
peagle,train,1,810,0.659,9.70e+03,1.47e+04
peagle,train,1,820,0.653,1.05e+04,1.61e+04
peagle,train,1,830,0.623,1.17e+04,1.87e+04
peagle,train,1,840,0.598,8.64e+03,1.45e+04
peagle,train,1,850,0.632,1.01e+04,1.60e+04
peagle,train,1,860,0.635,1.19e+04,1.87e+04
peagle,train,1,870,0.657,9.08e+03,1.38e+04
peagle,train,1,880,0.640,5.52e+03,8.62e+03
peagle,train,1,890,0.657,9.59e+03,1.46e+04
peagle,train,1,900,0.629,1.10e+04,1.75e+04
peagle,train,1,910,0.649,7.48e+03,1.15e+04
